Date,Project,Actual hours,Office Hours,Zero day,Assigned Task,My Task,Working dir,Remarks,
2/1/2025,jioface,,,,"1) Settings-i Save blcklist alert , fetch data from template master and save data 
2) Notification-I changes and deployment to dev along with config setup and swagger correction",,,,
3/1/2025,jioface,,,,"1) Notification-i Deploy and test 
2) MInor Bugs - Registration Stopped due to module-s down and blacklist not happening
3) getNotificationDropdown API",,,,
6/1/2025,jioface,,,,"1) Notification-I Testing and Changes along with settings-I changes
2) List Down External System Url in Excel
3) TenantName Updation for Vantara",,,,
7/1/2025,jioface,,,,"1) Discussion on Admin and Settings History Schema 
2) Vantara Data Migration 
3) Employee Updation
4) Camera Deletion
5) RBAC site delete information shared with maruth",,,,
8/1/2025,jioface,,,,"1) cameraops change for enable alert flag and geolocation flag along with validation schema 
2) settings-i changes in API based on schema 
3) all team meeting in conf6
4) Call notification api from 3 repos and send OT AND CONFIG by maintaing url of notification and remove middleware check from notification-i",,,,
9/1/2025,jioface,,,,"1) Registration Testing and Schema change sync in home-s
2) Discussuion with Amit k jain
3) Helped Maruth About the jioface and jiocx API",,,,
10/1/2025,jioface/reports,,,,"1) Help maruth for save and get api
2) login changes for sending OTP one email and mobile
3) Notification-i Changes after discussion",,,,
13/1/2025,jioface,,,,"1) login v2 i deployment process and Testing
2) Notification-I Changes ",,,,
14/1/2025,jioface,,,,"1) Notification-i Testing and changes and deployment to dev along with updating it to monolithic repo instead of using a service 
2) login v2-i deploy to prod, usage analytics code changes to send to prod",,,,
15/1/2025,jioface,,,,"1) registration issue, NFS failure
2) Notification and Settings_i changes for camera offline notification",,,,
16/1/2025,jioface,,,,"1) Documenation for Notification-I Repo
2) Dashboard API by mrunal and sonal , given by hardik sir",,,,
17/1/2025,jioface,,,,1) Notification_i Documentation,,,,
20/1/2025,jioface,,,,"1) RBAC deletion API explaination to mansi and dicusssion for nas data encryption
2) Disucssion with Amit k jain on geofencing",,,,
21/1/2025,jioface,,,,"camera data correction bug ,",,,,
22/1/2025,jioface,,,,"1) attendance processing issue
2) Sync employee cron job logs save in NAS",,,,
23/1/2025,jioface,,,,"1) SYNC Employee from SAP all tenants
2) SAP cron pull request sent , deployment delayed due to server upgrade activity
3) Employee Code correction for space",,,,
24/1/2025,jioface,,,,"1) SYNC Employee SAP JMD and RCP
2) Elastic data correction for JMD and RRL for dupliucate users , deleted some extra records",,,,
